name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
Bentley University,5565,Massachusetts,0.42857142857142855,0.0007187780772686433,0.07780772686433064,0.026774483378256962,0.05840071877807727,0.0,0.5638814016172506,0.018328840970350403,0.21221922731356693
Bergen Community College,15651,New Jersey,0.481183310970545,0.0014695546610440228,0.07021915532553831,0.061401827359274165,0.24944093029199413,0.0037058334930675355,0.3258577726662833,0.016228994952399208,0.06517155453325667
Berkeley City College,6321,California,0.5518114222433159,0.0028476506881822496,0.16041765543426673,0.18462268628381584,0.24806201550387597,0.003955070400253125,0.2692611928492327,0.07134947002056637,0.011390602752728999
Berkeley College at New York,4479,New York,0.6360794820272382,0.004465282429113641,0.030587184639428444,0.2672471533824514,0.20361687876758205,0.003125697700379549,0.07613306541638759,0.00022326412145568208,0.17905782540745702
Berkeley College at Woodland Park,3659,New Jersey,0.7176824268925937,0.0024596884394643345,0.022683793386171085,0.20989341350095655,0.33561082262913366,0.0019130910084722602,0.17682426892593606,0.0,0.006012571740912818
Berklee College of Music,4908,Massachusetts,0.31927465362673185,0.0018337408312958435,0.035859820700896494,0.05419722901385493,0.08292583537082314,0.0016299918500407497,0.3671556642216789,0.04421352893235534,0.3278321108394458
Berkshire Community College,2230,Massachusetts,0.6098654708520179,0.003587443946188341,0.01883408071748879,0.06816143497757847,0.07040358744394619,0.0017937219730941704,0.7869955156950673,0.01748878923766816,0.004035874439461884
Berry College,2177,Georgia,0.6132292145153881,0.0009186954524575103,0.011943040881947635,0.04271933853927423,0.061552595314653194,0.0013780431786862655,0.8295819935691319,0.02847955902618282,0.008727606798346348
Beth Medrash Govoha,6721,New Jersey,0.0,0.0,0.0,0.0,0.0011902990626394881,0.0,0.9806576402321083,0.0,0.018152060705252195
Bethel University (Minn.),3979,Minnesota,0.6272932897712993,0.0012565971349585323,0.03342548378989696,0.05679819050012566,0.026137220407137472,0.0005026388539834129,0.8258356370947474,0.02186479014827846,0.00929881879869314
Bethel University (Tenn.),6229,Tennessee,0.5878953283030984,0.004655642960346765,0.00305024883608926,0.387381602183336,0.013806389468614545,0.0012843152994060042,0.5109969497511639,0.008990207095842029,0.00947182533311928
Bethune-Cookman University,4044,Florida,0.587784371909001,0.0009891196834817012,0.002225519287833828,0.8852621167161226,0.028437190900098913,0.0019782393669634025,0.019287833827893175,0.01904055390702275,0.020771513353115726
Bevill State Community College,3609,Alabama,0.6215018010529233,0.0016625103906899418,0.0038791909116098642,0.14768633970628983,0.013854253255749516,0.0,0.8096425602660017,0.008589637018564699,0.0
Big Bend Community College,2016,Washington,0.5287698412698413,0.006944444444444444,0.013888888888888888,0.012896825396825396,0.3343253968253968,0.0,0.5515873015873016,0.020337301587301588,0.004464285714285714
Big Sandy Community and Technical College,4638,Kentucky,0.48382923673997413,0.001509271237602415,0.0017248814144027599,0.006252695127210005,0.00603708495040966,0.0,0.9204398447606728,0.00603708495040966,0.0008624407072013799
Binghamton University,16695,New York,0.4763102725366876,0.001078167115902965,0.12416891284815813,0.04684037136867326,0.0877508235998802,0.000658879904162923,0.5236298292902066,0.020784666067684934,0.16382150344414495
Biola University,6358,California,0.54451085246933,0.002201950298836112,0.19141239383453917,0.026737967914438502,0.1528782636049072,0.0020446681346335325,0.49339414910349166,0.05221767851525637,0.04529726329034287
Bishop State Community College,3320,Alabama,0.594578313253012,0.0069277108433734936,0.016566265060240965,0.6364457831325301,0.01897590361445783,0.002108433734939759,0.2849397590361446,0.012048192771084338,0.01746987951807229
Bismarck State College,4002,North Dakota,0.4325337331334333,0.01424287856071964,0.005247376311844078,0.027486256871564217,0.02223888055972014,0.0007496251874062968,0.8793103448275862,0.02673663168415792,0.0017491254372813594
Black Hawk College,6307,Illinois,0.5831615665133978,0.0012684319010623118,0.04391945457428254,0.10987791342952276,0.12462343427937213,0.0012684319010623118,0.6649754241319169,0.03060091961312827,0.003329633740288568
